symbol,type,order_type,entry_price,average_price,exit_price,volume,quantity,pnl,pnl_percent,entry_time,exit_time,reason,dca_orders_count,total_orders,duration_hours,profit_loss,cumulative_pnl,trade_number
XRPUSDT:USDT,long,long,2.2415,2.2171799724078816,2.2411,413.1114349753379,413.1114,9.5113,1.0384,2025-07-04T05:00:00,2025-07-04T12:30:00,take_profit,1,2,7.5,Profit,9.51130730846038,1
XRPUSDT:USDT,long,long,2.236,2.2093912681186714,2.2316,418.2929708509987,418.293,8.9164,0.9648,2025-07-04T12:45:00,2025-07-06T06:45:00,take_profit,1,2,42.0,Profit,18.427678708434104,2
XRPUSDT:USDT,long,long,2.2303,2.2303,2.2567,71.73922790655965,71.7392,1.8292,1.1432,2025-07-06T07:00:00,2025-07-06T09:30:00,take_profit,0,1,2.5,Profit,20.256836758920567,3
XRPUSDT:USDT,long,long,2.2531,2.2531,2.2839,71.0132706049443,71.0133,2.1223,1.3265,2025-07-06T09:45:00,2025-07-06T10:30:00,take_profit,0,1,0.75,Profit,22.37917061005901,4
XRPUSDT:USDT,long,long,2.274,2.274,2.3431,70.36059806508355,70.3606,4.796,2.9975,2025-07-06T10:45:00,2025-07-07T13:45:00,take_profit,0,1,27.0,Profit,27.175143169425773,5
XRPUSDT:USDT,long,long,2.3198,2.3198,2.3467,68.97146305716011,68.9715,1.7906,1.1191,2025-07-07T14:00:00,2025-07-07T16:00:00,take_profit,0,1,2.0,Profit,28.965733392720878,6
XRPUSDT:USDT,long,long,2.3309,2.2927590662609063,2.2624,410.47431996542855,410.4743,-12.8331,-1.3636,2025-07-07T16:15:00,2025-07-07T21:15:00,margin_call_warning,1,2,5.0,Loss,16.132653473894045,7
XRPUSDT:USDT,long,long,2.2736,2.2736,2.2996,70.37297677691767,70.373,1.765,1.1031,2025-07-07T21:30:00,2025-07-08T11:30:00,take_profit,0,1,14.0,Profit,17.89761899113541,8
XRPUSDT:USDT,long,long,2.2928,2.2928,2.3165,69.78367062107466,69.7837,1.5892,0.9933,2025-07-08T11:45:00,2025-07-08T18:15:00,take_profit,0,1,6.5,Profit,19.48683043565738,9
XRPUSDT:USDT,long,long,2.3139,2.3139,2.346,69.14732702363975,69.1473,2.1547,1.3467,2025-07-08T18:30:00,2025-07-09T10:00:00,take_profit,0,1,15.5,Profit,21.64157178143725,10
XRPUSDT:USDT,long,long,2.3448,2.3448,2.3815,68.23609689525759,68.2361,2.4393,1.5245,2025-07-09T10:15:00,2025-07-09T11:30:00,take_profit,0,1,1.25,Profit,24.080834831590764,11
XRPUSDT:USDT,long,long,2.3809,2.3809,2.4067,67.20147843252552,67.2015,1.6691,1.0432,2025-07-09T11:45:00,2025-07-09T19:15:00,take_profit,0,1,7.5,Profit,25.749939455892488,12
XRPUSDT:USDT,long,long,2.4122,2.4122,2.4395,66.32949175026947,66.3295,1.7461,1.0913,2025-07-09T19:30:00,2025-07-10T07:15:00,take_profit,0,1,11.75,Profit,27.496010262624925,13
XRPUSDT:USDT,long,long,2.4364,2.4364,2.4688,65.67066163191595,65.6707,2.0629,1.2893,2025-07-10T07:30:00,2025-07-10T16:15:00,take_profit,0,1,8.75,Profit,29.55888860772425,14
XRPUSDT:USDT,long,long,2.471,2.471,2.4983,64.75111290975313,64.7511,1.703,1.0644,2025-07-10T16:30:00,2025-07-10T19:00:00,take_profit,0,1,2.5,Profit,31.261886908007526,15
XRPUSDT:USDT,long,long,2.4914,2.4914,2.5349,64.22091996467849,64.2209,2.7285,1.7053,2025-07-10T19:15:00,2025-07-10T21:15:00,take_profit,0,1,2.0,Profit,33.990379482463645,16
XRPUSDT:USDT,long,long,2.5592,2.5256353327382013,2.5534,374.0776370458046,374.0776,10.0041,1.0589,2025-07-10T21:30:00,2025-07-11T01:45:00,take_profit,1,2,4.25,Profit,43.994452669747176,17
XRPUSDT:USDT,long,long,2.5675,2.5675,2.5956,62.317429406037,62.3174,1.6864,1.054,2025-07-11T02:00:00,2025-07-11T07:30:00,take_profit,0,1,5.5,Profit,45.68087198815031,18
XRPUSDT:USDT,long,long,2.579,2.579,2.6136,62.03955021326095,62.0396,2.0817,1.3011,2025-07-11T07:45:00,2025-07-11T09:45:00,take_profit,0,1,2.0,Profit,47.76258179815417,19
XRPUSDT:USDT,long,long,2.6204,2.6204,2.6477,61.05938024729049,61.0594,1.6023,1.0014,2025-07-11T10:00:00,2025-07-11T10:45:00,take_profit,0,1,0.75,Profit,49.36483611047289,20
XRPUSDT:USDT,long,long,2.6388,2.6388,2.6954,60.63362134303472,60.6336,3.3665,2.1041,2025-07-11T11:00:00,2025-07-11T12:45:00,take_profit,0,1,1.75,Profit,52.73132633330145,21
XRPUSDT:USDT,long,long,2.6879,2.6879,2.7269,59.526024033632204,59.526,2.2566,1.4104,2025-07-11T13:00:00,2025-07-11T13:30:00,take_profit,0,1,0.5,Profit,54.987912664638195,22
XRPUSDT:USDT,long,long,2.7997,2.7676065771828195,2.8023,347.973358273823,347.9734,11.6823,1.2131,2025-07-11T13:45:00,2025-07-11T14:15:00,take_profit,1,2,0.5,Profit,66.67024921558979,23
XRPUSDT:USDT,long,long,2.8199,2.8199,2.972,56.739600695060105,56.7396,8.5626,5.3517,2025-07-11T14:30:00,2025-07-11T15:15:00,take_profit,0,1,0.75,Profit,75.23289044400214,24
XRPUSDT:USDT,long,long,2.8931,2.7962307655125627,2.7495,350.7827565357755,350.7828,-16.7781,-1.7105,2025-07-11T15:30:00,2025-07-11T16:00:00,margin_call_warning,2,3,0.5,Loss,58.45475282684035,25
XRPUSDT:USDT,long,long,2.783,2.783,2.834,57.49191519942508,57.4919,2.8669,1.7918,2025-07-11T16:15:00,2025-07-11T18:00:00,take_profit,0,1,1.75,Profit,61.32166766694097,26
XRPUSDT:USDT,long,long,2.8055,2.8055,2.8346,57.03083229370879,57.0308,1.5949,0.9968,2025-07-11T18:15:00,2025-07-11T18:45:00,take_profit,0,1,0.5,Profit,62.9166010478,27
XRPUSDT:USDT,long,long,2.8204,2.8204,2.8589,56.72954190894909,56.7295,2.1192,1.3245,2025-07-11T19:00:00,2025-07-11T19:45:00,take_profit,0,1,0.75,Profit,65.03581477634917,28
XRPUSDT:USDT,long,long,2.8363,2.7899618491655724,2.7512,348.09302320506924,348.093,-13.8758,-1.4288,2025-07-11T20:00:00,2025-07-11T21:00:00,margin_call_warning,1,2,1.0,Loss,51.160016105109406,29
XRPUSDT:USDT,long,long,2.7675,2.7222009724851937,2.6685,352.04175802352637,352.0418,-19.2808,-2.0119,2025-07-11T21:15:00,2025-07-11T22:30:00,margin_call_warning,2,3,1.25,Loss,31.879261971334454,30
XRPUSDT:USDT,long,long,2.7034,2.7034,2.7349,59.1847303395724,59.1847,1.7996,1.1247,2025-07-11T22:45:00,2025-07-11T23:00:00,take_profit,0,1,0.25,Profit,33.67883524942872,31
XRPUSDT:USDT,long,long,2.7314,2.7003621831649767,2.778,348.9134757260036,348.9135,26.7012,2.8339,2025-07-11T23:15:00,2025-07-12T01:00:00,take_profit,1,2,1.75,Profit,60.38000311488882,32
XRPUSDT:USDT,long,long,2.8103,2.7734931949564343,2.8077,348.2556288548674,348.2556,11.5216,1.1929,2025-07-12T01:15:00,2025-07-12T09:15:00,take_profit,1,2,8.0,Profit,71.90159658479735,33
XRPUSDT:USDT,long,long,2.8202,2.7877719146812847,2.7068,350.06677815201164,350.0668,-28.7246,-2.9434,2025-07-12T09:30:00,2025-07-12T15:00:00,margin_call_warning,2,3,5.5,Loss,43.176994989479645,34
XRPUSDT:USDT,long,long,2.6926,2.6926,2.7267,59.422119884126865,59.4221,1.9615,1.2259,2025-07-12T15:15:00,2025-07-12T17:00:00,take_profit,0,1,1.75,Profit,45.138478759813154,35
XRPUSDT:USDT,long,long,2.7319,2.6924396073269548,2.7245,353.3637662601285,353.3638,10.9439,1.1503,2025-07-12T17:15:00,2025-07-12T21:15:00,take_profit,1,2,4.0,Profit,56.08236403006873,36
XRPUSDT:USDT,long,long,2.7357,2.7357,2.7764,58.48594509631904,58.4859,2.3154,1.4471,2025-07-12T21:30:00,2025-07-13T02:45:00,take_profit,0,1,5.25,Profit,58.39778984430276,37
XRPUSDT:USDT,long,long,2.7635,2.7635,2.7963,57.8975936312647,57.8976,1.8343,1.1464,2025-07-13T03:00:00,2025-07-13T06:15:00,take_profit,0,1,3.25,Profit,60.23207129897979,38
XRPUSDT:USDT,long,long,2.8058,2.8058,2.8416,57.02473447858008,57.0247,1.9767,1.2354,2025-07-13T06:30:00,2025-07-13T14:00:00,take_profit,0,1,7.5,Profit,62.208740199115226,39
XRPUSDT:USDT,long,long,2.8724,2.835927929636721,2.8659,340.72041022428834,340.7204,9.8215,1.0164,2025-07-13T14:15:00,2025-07-13T18:15:00,take_profit,1,2,4.0,Profit,72.0302480590982,40
XRPUSDT:USDT,long,long,2.8734,2.839553329911987,2.8006,343.2758319022728,343.2758,-13.7563,-1.4113,2025-07-13T18:30:00,2025-07-13T21:30:00,margin_call_warning,1,2,3.0,Loss,58.273960010267025,41
XRPUSDT:USDT,long,long,2.801,2.801,2.8325,57.12245626561942,57.1225,1.7346,1.0841,2025-07-13T21:45:00,2025-07-13T23:30:00,take_profit,0,1,1.75,Profit,60.008597639685085,42
XRPUSDT:USDT,long,long,2.8353,2.8353,2.8701,56.43141819207844,56.4314,1.899,1.1869,2025-07-13T23:45:00,2025-07-14T01:15:00,take_profit,0,1,1.5,Profit,61.90762546742817,43
XRPUSDT:USDT,long,long,2.861,2.861,2.9211,55.92450192240475,55.9245,3.2957,2.0598,2025-07-14T01:30:00,2025-07-14T03:00:00,take_profit,0,1,1.5,Profit,65.20334360793846,44
XRPUSDT:USDT,long,long,2.9253,2.9253,2.9571,54.69524493214371,54.6952,1.6746,1.0466,2025-07-14T03:15:00,2025-07-14T05:15:00,take_profit,0,1,2.0,Profit,66.8779566732651,45
XRPUSDT:USDT,long,long,2.9469,2.911245139353584,2.9454,333.02989370145303,333.0299,10.9822,1.1327,2025-07-14T05:30:00,2025-07-14T07:00:00,take_profit,1,2,1.5,Profit,77.86018378416564,46
XRPUSDT:USDT,long,long,2.9588,2.9588,3.0126,54.075976747329996,54.076,2.8441,1.7776,2025-07-14T07:15:00,2025-07-14T09:30:00,take_profit,0,1,2.25,Profit,80.70430761815238,47
XRPUSDT:USDT,long,long,2.9833,2.9833,3.0132,53.63188415513023,53.6319,1.539,0.9618,2025-07-14T09:45:00,2025-07-14T14:00:00,take_profit,0,1,4.25,Profit,82.24325951705629,48
XRPUSDT:USDT,long,long,3.0006,2.9563522242694287,2.9953,332.4692478761571,332.4692,12.5506,1.2769,2025-07-14T14:15:00,2025-07-14T16:45:00,take_profit,1,2,2.5,Profit,94.79385916538315,49
XRPUSDT:USDT,long,long,2.9725,2.9255414403067554,2.9553,339.71075706484663,339.7108,9.7077,0.9768,2025-07-14T17:00:00,2025-07-14T23:30:00,take_profit,1,2,6.5,Profit,104.50158312779314,50
XRPUSDT:USDT,long,long,2.9585,2.916368628415413,2.8587,343.6523962263309,343.6524,-20.2109,-2.0166,2025-07-14T23:45:00,2025-07-15T02:15:00,margin_call_warning,2,3,2.5,Loss,84.29066114371366,51
XRPUSDT:USDT,long,long,2.8792,2.8433589851734093,2.8732,345.9522503607878,345.9523,9.926,1.0091,2025-07-15T02:30:00,2025-07-15T04:30:00,take_profit,1,2,2.0,Profit,94.21663137372775,52
XRPUSDT:USDT,long,long,2.8693,2.8693,2.9148,55.762729585613215,55.7627,2.4722,1.5451,2025-07-15T04:45:00,2025-07-15T10:15:00,take_profit,0,1,5.5,Profit,96.6888206881947,53
XRPUSDT:USDT,long,long,2.9083,2.8723855423551137,2.9201,346.19762859577116,346.1976,16.1143,1.6205,2025-07-15T10:30:00,2025-07-15T13:00:00,take_profit,1,2,2.5,Profit,112.80308009648274,54
XRPUSDT:USDT,long,long,2.9125,2.8642239310784947,2.9,352.1225756818085,352.1226,12.1891,1.2086,2025-07-15T13:15:00,2025-07-15T16:00:00,take_profit,1,2,2.75,Profit,124.99217944510215,55
XRPUSDT:USDT,long,long,2.9013,2.9013,2.9314,55.14769241374556,55.1477,1.5953,0.9971,2025-07-15T16:15:00,2025-07-15T17:15:00,take_profit,0,1,1.0,Profit,126.58746100853924,56
XRPUSDT:USDT,long,long,2.9305,2.884155633033503,2.9208,353.84469486531736,353.8447,12.553,1.23,2025-07-15T17:30:00,2025-07-15T23:00:00,take_profit,1,2,5.5,Profit,139.1404720224269,57
XRPUSDT:USDT,long,long,2.9176,2.9176,2.958,54.839594187003016,54.8396,2.1506,1.3441,2025-07-15T23:15:00,2025-07-16T08:30:00,take_profit,0,1,9.25,Profit,141.29110541973978,58
XRPUSDT:USDT,long,long,2.9586,2.9586,2.9903,54.07963225850064,54.0796,1.6496,1.031,2025-07-16T08:45:00,2025-07-16T13:15:00,take_profit,0,1,4.5,Profit,142.9407440325972,59
XRPUSDT:USDT,long,long,2.9893,2.9893,3.0286,53.524236443314486,53.5242,2.0387,1.2742,2025-07-16T13:30:00,2025-07-16T17:15:00,take_profit,0,1,3.75,Profit,144.97940512382257,60
XRPUSDT:USDT,long,long,3.0285,3.0285,3.0683,52.83143470364867,52.8314,2.0379,1.2737,2025-07-16T17:30:00,2025-07-16T18:30:00,take_profit,0,1,1.0,Profit,147.01725514858728,61
XRPUSDT:USDT,long,long,3.0541,3.0541,3.0992,52.38859238400838,52.3886,2.2978,1.4361,2025-07-16T18:45:00,2025-07-16T20:15:00,take_profit,0,1,1.5,Profit,149.31503557489947,62
XRPUSDT:USDT,long,long,3.0792,3.0451991002406227,3.0796,341.63368543001883,341.6337,11.3317,1.0892,2025-07-16T20:30:00,2025-07-17T00:30:00,take_profit,1,2,4.0,Profit,160.6467037027441,63
XRPUSDT:USDT,long,long,3.0567,3.0179594171478046,3.056,347.9723960165087,347.9724,12.8117,1.22,2025-07-17T00:45:00,2025-07-17T04:15:00,take_profit,1,2,3.5,Profit,173.45841500679649,64
XRPUSDT:USDT,long,long,3.0514,3.0514,3.1181,52.43494789277053,52.4349,3.432,2.145,2025-07-17T04:30:00,2025-07-17T05:15:00,take_profit,0,1,0.75,Profit,176.8904270668345,65
XRPUSDT:USDT,long,long,3.1369,3.1369,3.1939,51.00577002773439,51.0058,2.8422,1.7764,2025-07-17T05:30:00,2025-07-17T08:15:00,take_profit,0,1,2.75,Profit,179.73259302685875,66
XRPUSDT:USDT,long,long,3.1962,3.1962,3.2375,50.05944559164007,50.0594,2.0026,1.2516,2025-07-17T08:30:00,2025-07-17T08:45:00,take_profit,0,1,0.25,Profit,181.7352211477523,67
XRPUSDT:USDT,long,long,3.2492,3.2492,3.2932,49.242890557675736,49.2429,2.1018,1.3136,2025-07-17T09:00:00,2025-07-17T11:00:00,take_profit,0,1,2.0,Profit,183.83704165741622,68
XRPUSDT:USDT,long,long,3.2776,3.2295920528222997,3.2679,331.4441564606497,331.4442,12.2637,1.1457,2025-07-17T11:15:00,2025-07-17T16:45:00,take_profit,1,2,5.5,Profit,196.10073635190915,69
XRPUSDT:USDT,long,long,3.2701,3.2701,3.3174,48.92816733433229,48.9282,2.2494,1.4059,2025-07-17T17:00:00,2025-07-17T17:45:00,take_profit,0,1,0.75,Profit,198.3501129458971,70
XRPUSDT:USDT,long,long,3.3336,3.3336,3.3835,47.99616030717542,47.9962,2.3301,1.4563,2025-07-17T18:00:00,2025-07-17T19:15:00,take_profit,0,1,1.25,Profit,200.68016334186544,71
XRPUSDT:USDT,long,long,3.3667,3.317811865758247,3.3555,327.04918557484496,327.0492,11.8869,1.0955,2025-07-17T19:30:00,2025-07-17T20:30:00,take_profit,1,2,1.0,Profit,212.56707153458763,72
XRPUSDT:USDT,long,long,3.3621,3.3621,3.4495,47.58930430385771,47.5893,4.0936,2.5585,2025-07-17T20:45:00,2025-07-17T21:00:00,take_profit,0,1,0.25,Profit,216.66071300866633,73
XRPUSDT:USDT,long,long,3.4769,3.4769,3.516,46.01800454427795,46.018,1.7346,1.0841,2025-07-17T21:15:00,2025-07-17T21:45:00,take_profit,0,1,0.5,Profit,218.39529726475652,74
XRPUSDT:USDT,long,long,3.4955,3.4955,3.5342,45.77313689028752,45.7731,1.7067,1.0667,2025-07-17T22:00:00,2025-07-17T23:15:00,take_profit,0,1,1.25,Profit,220.1020090942516,75
XRPUSDT:USDT,long,long,3.5282,3.5282,3.6153,45.348903123405705,45.3489,3.8843,2.4277,2025-07-17T23:30:00,2025-07-18T00:30:00,take_profit,0,1,1.0,Profit,223.9863186005154,76
XRPUSDT:USDT,long,long,3.6562,3.612235799712547,3.5477,306.02713611521517,306.0271,-20.184,-1.8259,2025-07-18T00:45:00,2025-07-18T06:15:00,margin_call_warning,2,3,5.5,Loss,203.80233564926112,77
XRPUSDT:USDT,long,long,3.5665,3.4752769172735944,3.512,312.7459073885241,312.7459,11.0456,1.0163,2025-07-18T06:30:00,2025-07-18T12:30:00,take_profit,1,2,6.0,Profit,214.84798402793527,78
XRPUSDT:USDT,long,long,3.5012,3.449998900256421,3.3791,317.80544627726886,317.8054,-22.9616,-2.0942,2025-07-18T12:45:00,2025-07-18T15:15:00,margin_call_warning,2,3,2.5,Loss,191.8863688379697,79
XRPUSDT:USDT,long,long,3.3701,3.3701,3.4165,47.47633601376814,47.4763,2.138,1.3363,2025-07-18T15:30:00,2025-07-18T16:15:00,take_profit,0,1,0.75,Profit,194.02438966821214,80
XRPUSDT:USDT,long,long,3.4273,3.4273,3.466,46.68397864207977,46.684,1.7419,1.0887,2025-07-18T16:30:00,2025-07-18T19:15:00,take_profit,0,1,2.75,Profit,195.76633697367126,81
XRPUSDT:USDT,long,long,3.44,3.3779739107045113,3.413,319.34676586646674,319.3468,10.7495,0.9965,2025-07-18T19:30:00,2025-07-18T20:45:00,take_profit,1,2,1.25,Profit,206.5158331063747,82
XRPUSDT:USDT,long,long,3.4264,3.386829998139225,3.4526,321.25357412870346,321.2536,20.6852,1.9012,2025-07-18T21:00:00,2025-07-19T00:00:00,take_profit,1,2,3.0,Profit,227.20101723858537,83
XRPUSDT:USDT,long,long,3.4537,3.411099543588897,3.4458,324.31073974948714,324.3107,10.8067,0.9769,2025-07-19T00:15:00,2025-07-19T16:45:00,take_profit,1,2,16.5,Profit,238.00774394810352,84
XRPUSDT:USDT,long,long,3.4391,3.399449731451614,3.4418,328.1660581181079,328.1661,13.4461,1.2053,2025-07-19T17:00:00,2025-07-20T01:00:00,take_profit,1,2,8.0,Profit,251.4538718623383,85
XRPUSDT:USDT,long,long,3.4373,3.3981845101819386,3.4369,331.7312287310328,331.7312,12.3871,1.0988,2025-07-20T01:15:00,2025-07-20T03:45:00,take_profit,1,2,2.5,Profit,263.84095804659734,86
XRPUSDT:USDT,long,long,3.4341,3.4341000000000004,3.4711,46.5915378119449,46.5915,1.6592,1.037,2025-07-20T04:00:00,2025-07-20T08:30:00,take_profit,0,1,4.5,Profit,265.5001553908797,87
XRPUSDT:USDT,long,long,3.5013,3.5013,3.5396,45.6973124268129,45.6973,1.6855,1.0534,2025-07-20T08:45:00,2025-07-20T14:30:00,take_profit,0,1,5.75,Profit,267.18566237400023,88
XRPUSDT:USDT,long,long,3.5403,3.4636835914278152,3.5028,329.39542026565744,329.3954,12.4232,1.0889,2025-07-20T14:45:00,2025-07-21T04:15:00,take_profit,1,2,13.5,Profit,279.60890570367565,89
XRPUSDT:USDT,long,long,3.5022,3.5021999999999998,3.5712,45.68556907086974,45.6856,3.087,1.9294,2025-07-21T04:30:00,2025-07-21T06:15:00,take_profit,0,1,1.75,Profit,282.6959490478593,90
XRPUSDT:USDT,long,long,3.5477,3.5477,3.602,45.09964202159146,45.0996,2.3839,1.49,2025-07-21T06:30:00,2025-07-21T14:00:00,take_profit,0,1,7.5,Profit,285.079880045407,91
XRPUSDT:USDT,long,long,3.6302,3.5866026888866833,3.5233,322.45009462825834,322.4501,-20.8664,-1.8043,2025-07-21T14:15:00,2025-07-21T20:45:00,margin_call_warning,2,3,6.5,Loss,264.2134866563112,92
XRPUSDT:USDT,long,long,3.5267,3.5267,3.5631,45.36819122692602,45.3682,1.5867,0.9917,2025-07-21T21:00:00,2025-07-21T22:00:00,take_profit,0,1,1.0,Profit,265.80022825610706,93
XRPUSDT:USDT,long,long,3.5685,3.508342552341906,3.5514,324.5620211514124,324.562,13.5138,1.1868,2025-07-21T22:15:00,2025-07-22T01:45:00,take_profit,1,2,3.5,Profit,279.31398066887243,94
XRPUSDT:USDT,long,long,3.5433,3.493512085628292,3.4246,329.3039141538561,329.3039,-23.1441,-2.0118,2025-07-22T02:00:00,2025-07-22T04:45:00,margin_call_warning,2,3,2.75,Loss,256.16986746520564,95
XRPUSDT:USDT,long,long,3.4694,3.4694,3.5082,46.11748429123192,46.1175,1.7246,1.0779,2025-07-22T05:00:00,2025-07-22T11:30:00,take_profit,0,1,6.5,Profit,257.8945101123492,96
XRPUSDT:USDT,long,long,3.5205,3.5205,3.5685,45.44808975997727,45.4481,2.1166,1.3229,2025-07-22T11:45:00,2025-07-22T17:30:00,take_profit,0,1,5.75,Profit,260.0111458175047,97
XRPUSDT:USDT,long,long,3.5577,3.5151957134401495,3.4493,322.17987022782324,322.1799,-21.6748,-1.9138,2025-07-22T17:45:00,2025-07-23T09:15:00,margin_call_warning,2,3,15.5,Loss,238.3363554022368,98
XRPUSDT:USDT,long,long,3.4523,3.3619183206669647,3.2814,330.94506533981365,330.9451,-27.0815,-2.4341,2025-07-23T09:30:00,2025-07-23T13:30:00,margin_call_warning,2,3,4.0,Loss,211.2548292530937,99
XRPUSDT:USDT,long,long,3.265,3.265,3.3159,49.00459418070444,49.0046,2.4293,1.5183,2025-07-23T13:45:00,2025-07-23T14:15:00,take_profit,0,1,0.5,Profit,213.68416536335403,100
XRPUSDT:USDT,long,long,3.3011,3.2406739293905753,3.1849,336.33904283916513,336.339,-19.1874,-1.7604,2025-07-23T14:30:00,2025-07-23T19:45:00,margin_call_warning,2,3,5.25,Loss,194.49673284973332,101
XRPUSDT:USDT,long,long,3.1931,3.151144742518113,3.1938,340.2903320732868,340.2903,14.0804,1.3131,2025-07-23T20:00:00,2025-07-23T23:00:00,take_profit,2,3,3.0,Profit,208.57717687788588,102
XRPUSDT:USDT,long,long,3.1965,3.1965,3.2301,50.05474737994682,50.0547,1.6172,1.0107,2025-07-23T23:15:00,2025-07-24T01:45:00,take_profit,0,1,2.5,Profit,210.19434365404732,103
XRPUSDT:USDT,long,long,3.2183,3.1723131585052626,3.0847,342.33326182884093,342.3333,-30.4153,-2.8007,2025-07-24T02:00:00,2025-07-24T05:00:00,margin_call_warning,3,4,3.0,Loss,179.7790471587082,104
XRPUSDT:USDT,long,long,3.076,3.025006546811283,3.0558,349.82522255079226,349.8252,10.3447,0.9776,2025-07-24T05:15:00,2025-07-24T07:30:00,take_profit,1,2,2.25,Profit,190.12377540753036,105
XRPUSDT:USDT,long,long,3.0746,3.0746,3.1064,52.03928966369609,52.0393,1.5902,0.9939,2025-07-24T07:45:00,2025-07-24T08:00:00,take_profit,0,1,0.25,Profit,191.71396287907135,106
XRPUSDT:USDT,long,long,3.0883,3.0883,3.1292,51.808438299388015,51.8084,2.0541,1.2838,2025-07-24T08:15:00,2025-07-24T11:00:00,take_profit,0,1,2.75,Profit,193.76808041946575,107
